baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,names
21.98652665,31.85553563,4.208531993,7.569274911,3.75E-14,1.66E-11,XM_014898152.2
10.44703408,31.64933387,4.20952722,7.518500823,5.54E-14,2.39E-11,XM_014901858.2
5.473695205,31.33143706,4.21717977,7.429476279,1.09E-13,4.41E-11,XM_014899807.2
17.63046738,31.2398051,4.207718409,7.424404884,1.13E-13,4.53E-11,XR_002961905.1
26.3096154,30.63656994,4.207984076,7.280581244,3.32E-13,1.19E-10,XM_024456519.1
31.31919831,30.09179528,4.207332518,7.152226534,8.54E-13,2.77E-10,XM_024455540.1
35.23714098,25.29159573,4.217160185,5.997304968,2.01E-09,3.23E-07,XR_002961484.1
71.92001555,23.98677933,4.206566003,5.702223455,1.18E-08,1.60E-06,XM_024461589.1
71.2820192,23.88470671,3.139867547,7.606915372,2.81E-14,1.30E-11,XM_024461746.1
40.83658658,23.48176247,3.743527276,6.272630261,3.55E-10,6.85E-08,XR_002963173.1
27.11134329,23.29138354,4.207011333,5.536325362,3.09E-08,3.72E-06,XM_024456483.1
55.24769369,23.26447146,3.097772434,7.510064719,5.91E-14,2.52E-11,XM_024461747.1
25.31193778,23.03876034,4.207092964,5.476170967,4.35E-08,4.97E-06,XR_001406350.2
37.63987986,23.02294603,3.778157906,6.093696082,1.10E-09,1.92E-07,XM_024460909.1
20.64923769,22.83097165,4.20727454,5.426546671,5.75E-08,6.22E-06,XM_014901311.2
39.24291297,22.80076364,3.140078495,7.261208176,3.84E-13,1.35E-10,XM_024462197.1
18.82123113,22.71919032,4.207360404,5.399867884,6.67E-08,7.01E-06,XM_024457632.1
39.6676518,22.63922567,4.207344836,5.380881897,7.41E-08,7.72E-06,XR_002961685.1
16.62340483,22.56516799,4.207511794,5.363067081,8.18E-08,8.28E-06,XM_014901465.2
21.07805695,22.4617052,2.99549126,7.498504667,6.45E-14,2.71E-11,XM_024455132.1
47.34314948,22.41278924,4.20752043,5.326840266,9.99E-08,9.90E-06,XM_024460367.1
32.05323438,22.19395313,4.208157546,5.274030947,1.33E-07,1.27E-05,XR_002966449.1
22.32393777,22.12844911,4.207923434,5.258757546,1.45E-07,1.37E-05,XM_010238905.3
15.34032033,22.00346571,4.207947175,5.229026124,1.70E-07,1.58E-05,XM_024462360.1
21.06653295,21.97160974,4.208121679,5.221239171,1.78E-07,1.64E-05,XR_002963615.1
12.49355167,21.95366961,3.534975781,6.210415847,5.28E-10,9.68E-08,XR_001407898.2
25.36697967,21.80744499,4.208316673,5.18198764,2.20E-07,1.97E-05,XM_024463265.1
19.91521401,21.35222879,4.20923668,5.07270805,3.92E-07,3.28E-05,XM_024454739.1
20.12837415,21.30267984,2.945614002,7.231999787,4.76E-13,1.64E-10,NM_001279920.1
9.870636483,21.17162737,4.2097889,5.029142285,4.93E-07,3.95E-05,XM_024462662.1
67.10283739,21.07392133,3.179331748,6.628412197,3.39E-11,8.05E-09,XM_014901293.2
8.459990854,20.7469907,4.21112589,4.926708734,8.36E-07,6.21E-05,XR_002962115.1
20.76386299,20.69488023,4.211044854,4.914428829,8.90E-07,6.50E-05,XM_014897244.2
14.89378861,20.43506642,4.212149823,4.851457636,1.23E-06,8.41E-05,XM_024456892.1
12.21510394,19.35229648,4.21908619,4.586845495,4.50E-06,0.000245587,XM_014903007.2
86.75784331,10.122198,2.673201146,3.786545584,0.000152756,0.004414449,XM_024455818.1
22.11248244,8.214080637,2.622561245,3.132083436,0.001735705,0.027547009,XM_014897910.2
25.56438545,8.162944327,1.763215274,4.629578955,3.66E-06,0.000207569,XM_014897158.2
42.72186492,8.005861532,2.611678597,3.065408408,0.002173729,0.032364197,XM_024459077.1
13.2850721,7.840203691,2.489745694,3.148997791,0.001638314,0.026341525,XM_014895823.2
23.48683214,7.830981577,2.591624969,3.021649224,0.002514017,0.035727797,XM_014898632.2
19.14390543,7.768920282,2.473339755,3.141064735,0.001683348,0.026854971,XM_024459433.1
13.63890096,7.390207483,2.337047906,3.162197688,0.001565832,0.02552649,XR_002960870.1
10.05396278,7.352526512,1.957387449,3.756295933,0.000172447,0.004842683,XM_003577414.4
19.85515482,7.258334801,1.721973574,4.215125546,2.50E-05,0.001039108,XR_002964732.1
18.52543775,7.21802184,2.495113783,2.892862798,0.00381748,0.048103477,XM_024459772.1
41.26995889,7.112956564,1.879843957,3.783801595,0.000154451,0.004451662,XM_024459013.1
11.27686197,7.070205151,1.593009765,4.438268557,9.07E-06,0.000443953,XM_010235695.3
46.08989769,6.865059223,1.766072673,3.887189541,0.000101412,0.003210714,XR_002961683.1
25.33658377,6.72780709,1.645505229,4.088596604,4.34E-05,0.001623136,XR_002960867.1
8.853123322,6.58335052,2.2209536,2.964199937,0.00303471,0.041001207,XM_014901237.2
27.95959068,6.536288588,1.444340893,4.525447296,6.03E-06,0.000313085,XM_010232590.3
11.49938339,6.486730135,1.898701191,3.41640389,0.000634541,0.012923256,XM_010235763.3
7.728089364,6.407994276,1.958598586,3.271724141,0.001068938,0.019127754,XM_024455080.1
236.3629277,6.113508622,1.366569901,4.473615743,7.69E-06,0.000386306,XM_010235870.3
12.49019759,6.097057384,2.056924816,2.964161518,0.003035089,0.041001207,XM_010234139.3
13.65164066,6.044090378,1.94244857,3.111583221,0.00186087,0.028865308,XM_024460359.1
11.58284586,5.671709023,1.818435872,3.119004145,0.001814634,0.028438479,XR_001406042.2
5.694512664,5.551679146,1.693132128,3.278940287,0.001041977,0.018747581,XM_010240041.3
15.80479412,5.311288438,1.590453362,3.339480782,0.000839352,0.015824159,XM_014898335.2
7.204757354,5.276192603,1.705047767,3.094454422,0.001971752,0.030150804,XR_002963184.1
7.528350547,5.243998849,1.504438404,3.485685313,0.000490878,0.01064164,XM_024458420.1
28.07776726,5.150609244,1.097191592,4.694357193,2.67E-06,0.000160664,XM_003572945.4
5.854771651,5.130355337,1.642954071,3.122640753,0.001792364,0.028209948,XR_731790.3
10.05385368,5.002196164,1.517062035,3.297291771,0.00097622,0.017888283,XM_010241432.3
11.51887669,4.928411652,1.123374404,4.387149674,1.15E-05,0.00054752,XM_024456423.1
10.55090958,4.667912286,1.244973024,3.749408377,0.000177252,0.004947977,XM_024459487.1
8.085009991,4.665742452,1.32238711,3.528272786,0.000418281,0.009481418,XR_732787.3
6.542003301,4.64087001,1.205548939,3.849590722,0.000118315,0.003623477,XM_003577417.4
9.598881416,4.522318254,1.285420436,3.518162717,0.000434546,0.009760738,XM_024454703.1
5.622208731,4.432906563,1.28755947,3.442875195,0.000575565,0.011993982,XM_003563223.4
24.71573785,4.27838456,1.118139822,3.826341282,0.000130062,0.003920985,XM_024460740.1
8.315954483,4.265871538,1.115408389,3.824492964,0.000131041,0.003945964,XM_024457846.1
36.25951789,4.005840905,1.287423544,3.111517515,0.001861284,0.028865308,XM_024459818.1
18.69817387,3.536178183,1.209991827,2.922481049,0.003472548,0.045073035,XM_003573223.4
77.7921269,3.504277138,0.735188675,4.766500431,1.87E-06,0.00011962,XM_003557452.4
15.1769806,3.400420602,1.120097553,3.035825401,0.002398782,0.034554264,XR_001404788.2
22.10059334,3.321143464,0.578069423,5.745232889,9.18E-09,1.28E-06,XM_024456851.1
229.4154876,3.281610854,0.380446546,8.625681825,6.37E-18,5.22E-15,XM_010234198.3
