baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,names
198.9351475,-1.247916285,0.301124341,-4.144189346,3.41E-05,0.000361911,NM_001279893.1
26.33051077,1.24963465,0.279264711,4.474731674,7.65E-06,9.70E-05,NM_001279901.1
90.43502098,-2.269888306,0.361249694,-6.283433152,3.31E-10,1.23E-08,NM_001279906.1
3417.991956,-1.36226791,0.289489302,-4.705762525,2.53E-06,3.70E-05,NM_001279915.1
20.12837415,-21.9455799,2.686153447,-8.169890638,3.09E-16,3.47E-14,NM_001279920.1
497.7784857,2.407160213,0.221405544,10.87217678,1.56E-27,7.94E-25,NM_001289016.1
4.699666384,-5.891495922,1.663274933,-3.542105882,0.000396946,0.00302132,NM_001301386.1
47.10170972,-1.30679856,0.397674229,-3.286103206,0.001015838,0.006747024,NM_001301393.1
188.9780647,-1.038871561,0.324420686,-3.202235883,0.001363653,0.008641039,NM_001301397.1
190.5293677,-1.107014901,0.294474748,-3.759286351,0.000170399,0.001472706,NM_001302879.1
79.37559874,-1.624783483,0.462795253,-3.510804129,0.000446753,0.003349505,NM_001302880.1
18.78148932,3.524529687,0.868734693,4.057084071,4.97E-05,0.000503923,NM_001317863.1
582.7926936,-1.058475586,0.231654898,-4.569191483,4.90E-06,6.59E-05,NM_001317868.1
684.1559607,-1.39667587,0.278651244,-5.012272144,5.38E-07,9.46E-06,NM_001317871.1
13.46851355,2.034841392,0.708731354,2.871103954,0.00409041,0.021579746,NR_126843.1
63.12019311,-1.602725229,0.414580364,-3.865897589,0.000110681,0.001011857,NR_126860.1
58.43182924,-1.493418273,0.456999682,-3.267875956,0.001083578,0.00712701,NR_126886.1
50.24141569,-1.612152426,0.547836615,-2.942761369,0.003252991,0.017927745,NR_126888.1
4.757482602,-3.850646931,1.474267927,-2.611904431,0.009003942,0.041214036,NR_126900.1
89.69179682,-1.048534788,0.369455547,-2.838053989,0.00453895,0.02354174,NR_126912.1
259.6408347,-2.41511709,0.308335767,-7.832750361,4.77E-15,4.33E-13,NR_126928.1
24.0941932,-1.554256256,0.467465354,-3.324858717,0.000884634,0.005989877,NR_127031.1
71.59410484,-1.10961988,0.346426654,-3.203044181,0.001359831,0.008621306,NR_127047.1
53.84879957,-2.544380972,0.518230033,-4.909752059,9.12E-07,1.51E-05,NR_127069.1
24.27111197,-2.265239799,0.491870816,-4.605355161,4.12E-06,5.66E-05,NR_127098.1
33.04828558,1.140419824,0.401689337,2.839059238,0.004524676,0.023480561,NR_127103.1
2.850234768,5.708012798,1.549824924,3.683004905,0.000230501,0.001900045,NR_127112.1
24.07257496,-1.791078601,0.485024584,-3.692758391,0.000221835,0.001840232,NR_127114.1
749.6506655,1.140574731,0.239831587,4.755731917,1.98E-06,2.97E-05,XM_003557072.4
127.6307459,-1.324964632,0.2498061,-5.303972299,1.13E-07,2.36E-06,XM_003557086.4
2832.563439,-1.075812231,0.117813254,-9.13150424,6.76E-20,1.29E-17,XM_003557107.4
50.22100328,1.465201721,0.333924921,4.387817823,1.14E-05,0.000138705,XM_003557119.4
1316.391231,1.104426444,0.171435037,6.442244618,1.18E-10,4.78E-09,XM_003557121.4
12.39306476,3.710425446,0.991222029,3.743283885,0.000181631,0.001552719,XM_003557132.4
486.077237,-1.178100903,0.261689983,-4.5018953,6.74E-06,8.67E-05,XM_003557135.4
89.54898858,-2.598028003,0.539670864,-4.814097213,1.48E-06,2.29E-05,XM_003557137.4
77.69976793,1.120318894,0.277494621,4.037263461,5.41E-05,0.000541524,XM_003557150.4
125.9049857,1.895066979,0.226473457,8.367722211,5.87E-17,7.33E-15,XM_003557157.4
39.12088389,-3.889830747,0.492687031,-7.895135249,2.90E-15,2.75E-13,XM_003557169.4
5549.465523,4.042133889,0.337978448,11.95973858,5.77E-33,6.03E-30,XM_003557184.4
7448.233112,1.136825495,0.141402652,8.039633481,9.01E-16,9.23E-14,XM_003557194.4
427.0091321,1.13279913,0.188447892,6.01120616,1.84E-09,5.84E-08,XM_003557201.3
44.20193274,-8.749665174,1.067526032,-8.196207782,2.48E-16,2.84E-14,XM_003557209.4
2390.891281,1.184539957,0.187423984,6.320108729,2.61E-10,9.92E-09,XM_003557223.4
523.2616559,1.131972043,0.281833977,4.01644988,5.91E-05,0.000585845,XM_003557230.4
1989.916079,-2.075722096,0.211364239,-9.820592654,9.18E-23,2.62E-20,XM_003557241.4
3066.065501,1.20560273,0.220299051,5.47257342,4.44E-08,1.04E-06,XM_003557244.4
431.5108785,-1.807339106,0.317829965,-5.686496877,1.30E-08,3.47E-07,XM_003557251.4
311.7801148,-1.452611615,0.312100746,-4.654303563,3.25E-06,4.58E-05,XM_003557277.4
1809.868531,-1.771430798,0.265172105,-6.68030597,2.38E-11,1.13E-09,XM_003557279.4
426.707965,8.094073468,0.584601755,13.84544847,1.36E-43,4.95E-40,XM_003557282.4
395.2174773,1.128908399,0.186090994,6.066432212,1.31E-09,4.27E-08,XM_003557292.4
390.7866586,-1.282462809,0.184687451,-6.943962914,3.81E-12,2.13E-10,XM_003557299.4
2.461620605,-4.58631513,1.255105122,-3.654128287,0.000258057,0.00209693,XM_003557312.4
5.111311324,-2.288258772,0.816341554,-2.80306541,0.00506194,0.02574255,XM_003557332.4
253.3139376,3.842035409,0.468003881,8.209409283,2.22E-16,2.57E-14,XM_003557346.4
9084.367133,-1.168185702,0.211584298,-5.521136076,3.37E-08,8.13E-07,XM_003557348.4
246.5974817,-2.497829524,0.377045653,-6.624740275,3.48E-11,1.59E-09,XM_003557352.4
48.22061691,-1.24304696,0.310482799,-4.003593643,6.24E-05,0.000613634,XM_003557356.4
56.26247247,5.498280374,0.976287271,5.631826346,1.78E-08,4.62E-07,XM_003557395.4
85.65843196,1.054148252,0.189383995,5.566195033,2.60E-08,6.52E-07,XM_003557399.4
8.481601421,6.593251089,1.680458776,3.92348279,8.73E-05,0.000824292,XM_003557404.4
22.01188452,1.759234114,0.511506246,3.439320881,0.000583176,0.004206644,XM_003557405.3
468.2938813,-1.562616208,0.252722024,-6.183142189,6.28E-10,2.20E-08,XM_003557413.4
21.74872106,2.767811245,0.51179139,5.408084818,6.37E-08,1.43E-06,XM_003557417.4
