baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,names
259.6408347,2.080277275,0.30695958,6.777039755,1.23E-11,6.08E-09,NR_126928.1
641.1604434,-1.056474109,0.220883837,-4.782939859,1.73E-06,0.0001897,XM_003557215.4
85.65843196,-1.383217215,0.187872935,-7.36251453,1.80E-13,1.40E-10,XM_003557399.4
747.0173408,1.154506491,0.244313377,4.725514854,2.30E-06,0.000235224,XM_003557453.4
361.8309045,-1.01553149,0.251302445,-4.041072867,5.32E-05,0.002976335,XM_003557477.4
115.945623,-1.119306973,0.27516847,-4.067715217,4.75E-05,0.002738171,XM_003557651.4
784.4479398,1.222459651,0.317104233,3.855072007,0.000115696,0.005078319,XM_003557749.4
384.465168,1.16819518,0.266321149,4.386415359,1.15E-05,0.000915962,XM_003557818.4
865.8052332,1.038786989,0.30440641,3.412500382,0.000643698,0.017678538,XM_003557902.4
1554.62992,1.208571405,0.309797155,3.901170118,9.57E-05,0.004430542,XM_003557952.4
74.00898838,1.411968203,0.314480543,4.489842811,7.13E-06,0.000607436,XM_003557956.4
103.6545439,2.151454142,0.558785591,3.850231963,0.000118006,0.005142744,XM_003557967.4
3152.657332,1.371490768,0.198530718,6.908204357,4.91E-12,2.90E-09,XM_003557995.4
418.9314617,2.117745462,0.353823188,5.985321304,2.16E-09,5.50E-07,XM_003558172.4
12273.51314,1.831207843,0.266497443,6.871389926,6.36E-12,3.58E-09,XM_003558180.4
76.39156968,2.919026956,0.78972736,3.696246456,0.000218811,0.008014821,XM_003558226.4
1191.667229,1.991572521,0.303325995,6.565782539,5.18E-11,2.10E-08,XM_003558228.4
734.2202383,-1.072086851,0.313348452,-3.421388698,0.000623022,0.017380147,XM_003558233.4
60.71783216,1.780598527,0.499307276,3.566137751,0.000362281,0.011610456,XM_003558259.4
1351.180451,1.029682444,0.301305661,3.417401588,0.000632219,0.017518483,XM_003558312.4
177.8883253,1.925386906,0.470212059,4.094720386,4.23E-05,0.002531985,XM_003558436.4
61.61353691,1.649947847,0.541385063,3.047641981,0.002306445,0.041936332,XM_003558506.4
325.3871926,-2.716784281,0.334452868,-8.123070652,4.55E-16,8.05E-13,XM_003558604.4
156.0490212,1.731364803,0.338120217,5.12055984,3.05E-07,4.44E-05,XM_003558683.4
184.443877,1.939290524,0.583486784,3.323623736,0.00088856,0.022388073,XM_003558764.4
51.04855365,1.836571641,0.522981309,3.511734757,0.000445192,0.013497266,XM_003558826.4
217.3702676,-1.412732384,0.370023019,-3.817958106,0.000134561,0.005694722,XM_003559027.4
196.3706295,3.956886112,0.82553024,4.793144964,1.64E-06,0.000181778,XM_003559387.4
254.5076922,1.655230694,0.355079133,4.661582564,3.14E-06,0.000308806,XM_003559481.4
102.222529,3.691572961,0.579171204,6.373888993,1.84E-10,6.09E-08,XM_003559512.4
63.43940245,-2.93700252,0.824127234,-3.563773165,0.000365562,0.011682906,XM_003559564.4
54.51148295,2.173432203,0.460627704,4.718413995,2.38E-06,0.000242581,XM_003559690.3
192.6652478,1.537792021,0.247019859,6.225378099,4.80E-10,1.42E-07,XM_003559722.4
91.47351866,1.198046912,0.334251151,3.584271613,0.00033802,0.011053365,XM_003559866.4
53.59555689,-1.114282321,0.296420021,-3.759133134,0.000170503,0.006754755,XM_003560005.4
392.9308122,1.084626455,0.24540738,4.419697782,9.88E-06,0.000801048,XM_003560118.4
333.6160888,1.726705341,0.305994127,5.642936224,1.67E-08,3.64E-06,XM_003560278.4
177.1861016,1.8156771,0.515582046,3.521606531,0.00042894,0.01314922,XM_003560280.4
49.16666258,1.515387224,0.473141363,3.202821274,0.001360884,0.029450197,XM_003560322.4
495.4162659,1.224582092,0.220517346,5.553223435,2.80E-08,5.75E-06,XM_003560391.4
220.6538928,1.574595691,0.227860783,6.910340922,4.83E-12,2.90E-09,XM_003560518.4
283.918021,-1.064784597,0.223483457,-4.764489558,1.89E-06,0.00020239,XM_003560555.4
174.7124238,2.6825031,0.413012753,6.494964327,8.31E-11,3.12E-08,XM_003560851.4
1068.860408,1.698791516,0.379963859,4.470929209,7.79E-06,0.000653266,XM_003560864.4
488.2379831,-2.012133515,0.368297092,-5.463343474,4.67E-08,8.85E-06,XM_003560889.3
557.9279876,1.769027727,0.406202028,4.355044056,1.33E-05,0.001020671,XM_003560890.4
61.28155777,1.032650221,0.318641,3.240795194,0.001191968,0.027106,XM_003560951.4
145.346158,1.762913588,0.222206524,7.933671598,2.13E-15,2.64E-12,XM_003560969.4
149.5338994,1.07099303,0.33048394,3.24068101,0.001192445,0.027106,XM_003561027.4
56.34127187,-1.097887127,0.349118925,-3.144736786,0.001662363,0.03384779,XM_003561410.4
293.5101357,1.190989087,0.376765204,3.161090976,0.001571794,0.032619657,XM_003561600.4
818.0482578,-1.090019828,0.182144933,-5.984354369,2.17E-09,5.50E-07,XM_003562283.4
106.6604011,1.411103163,0.26494868,5.325949029,1.00E-07,1.77E-05,XM_003562438.4
395.5842172,1.013407999,0.329166098,3.078713166,0.002078967,0.039000296,XM_003562565.4
104.2179347,2.990848837,0.616304603,4.852874408,1.22E-06,0.000143023,XM_003562580.4
80.2279314,1.47660266,0.46367516,3.184562789,0.001449729,0.030834707,XM_003562682.4
25.97846169,1.518382433,0.467633303,3.246951027,0.001166485,0.026692248,XM_003562714.4
1965.904372,1.287833199,0.249580339,5.15999458,2.47E-07,3.78E-05,XM_003562769.4
75.43838638,2.743866453,0.828088529,3.313494096,0.000921381,0.022850237,XM_003562843.4
362.1249042,1.047831774,0.211734786,4.948793689,7.47E-07,9.45E-05,XM_003562890.4
