baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,names
90.43502098,-2.744826871,0.359591807,-7.633174103,2.29E-14,1.10E-12,NM_001279906.1
2667.425315,-1.152126554,0.229039479,-5.030253123,4.90E-07,6.50E-06,NM_001279907.1
450.386707,-2.421578418,0.156376494,-15.48556538,4.34E-54,5.53E-51,NM_001279929.1
128.4867194,-2.005098875,0.75599716,-2.652257154,0.007995562,0.032221753,NM_001279941.1
2.349637521,4.855818682,1.830460441,2.652785372,0.007983061,0.032184954,NM_001279943.1
497.7784857,1.739591702,0.21363563,8.142797634,3.86E-16,2.47E-14,NM_001289016.1
15.79714408,-3.145117735,0.616790921,-5.099163478,3.41E-07,4.70E-06,NM_001301380.1
4.699666384,-5.540211359,1.402604698,-3.949944961,7.82E-05,0.000606434,NM_001301386.1
135.426344,1.06589783,0.238668598,4.466016228,7.97E-06,8.00E-05,NM_001301401.1
13.09769703,3.940090628,1.258399818,3.131032422,0.001741929,0.008985505,NM_001302866.1
972.2253897,1.004205148,0.128145058,7.836471895,4.63E-15,2.53E-13,NM_001317347.1
18.78148932,4.028011792,0.944475781,4.264812158,2.00E-05,0.000181661,NM_001317863.1
459.3328283,-3.542523738,0.206033729,-17.19390196,2.95E-66,5.12E-63,NM_001317865.1
582.7926936,-1.385390814,0.229178741,-6.045023237,1.49E-09,3.33E-08,NM_001317868.1
534.2748197,-2.547739335,0.181970038,-14.00087265,1.54E-44,1.11E-41,NM_001317883.1
453.3280974,1.349855902,0.148769316,9.073483304,1.15E-19,1.15E-17,NM_001317887.1
6.1932326,-2.592518539,0.770571594,-3.364409692,0.000767076,0.004431942,NR_126837.1
13.46851355,3.193784008,0.73041136,4.372582604,1.23E-05,0.000117993,NR_126843.1
30.33755308,-1.079076109,0.390918728,-2.760359205,0.005773784,0.024670626,NR_126854.1
63.12019311,-2.22710077,0.38697419,-5.755166185,8.66E-09,1.68E-07,NR_126860.1
28.33485394,-2.597039494,0.577128312,-4.499934308,6.80E-06,6.92E-05,NR_126863.1
14.25591812,-1.064011125,0.297302051,-3.578889289,0.000345058,0.00221059,NR_126870.1
4.757482602,-5.262111886,1.348522189,-3.902132222,9.53E-05,0.000722407,NR_126900.1
89.69179682,-1.181870284,0.363063281,-3.255273517,0.001132832,0.006236779,NR_126912.1
259.6408347,2.518027025,0.300866362,8.369254077,5.80E-17,4.10E-15,NR_126928.1
3.631926863,1.555505029,0.592884234,2.623623536,0.008699989,0.034539607,NR_126933.1
1.354843605,3.412479071,1.249212439,2.731704363,0.006300765,0.026440377,NR_126948.1
21.84693904,-1.175212699,0.30779812,-3.818128249,0.000134468,0.000977503,NR_126972.1
1.563851914,-4.630241832,1.360070071,-3.404414177,0.000663061,0.003899976,NR_126990.1
24.0941932,-1.772873573,0.415665551,-4.265144338,2.00E-05,0.000181434,NR_127031.1
6132.703953,-1.196832688,0.168578609,-7.099552501,1.25E-12,4.63E-11,NR_127046.1
9.721343354,1.392551938,0.504873486,2.758219586,0.005811714,0.024796648,NR_127050.1
4.437474652,-1.950721264,0.606218796,-3.217850186,0.001291553,0.00696607,NR_127062.1
53.84879957,-4.419982707,0.547578488,-8.071870617,6.92E-16,4.20E-14,NR_127069.1
33.04828558,1.602071562,0.351820948,4.553655981,5.27E-06,5.51E-05,NR_127103.1
2.850234768,3.41887966,1.362184994,2.509849744,0.012078254,0.045354883,NR_127112.1
127.6307459,-1.689835516,0.22994512,-7.348864447,2.00E-13,8.29E-12,XM_003557086.4
798.2366248,-2.027687616,0.470136307,-4.312978138,1.61E-05,0.000149809,XM_003557093.4
143.7721103,1.108319754,0.222864341,4.97306905,6.59E-07,8.46E-06,XM_003557095.4
223.879106,1.210304903,0.445936455,2.714074817,0.006646115,0.027631641,XM_003557100.4
53.51821673,1.398851729,0.286962103,4.874691522,1.09E-06,1.33E-05,XM_003557101.4
12.39306476,4.827369668,1.306992393,3.693494847,0.000221193,0.001507015,XM_003557132.4
486.077237,-1.804775018,0.254110081,-7.102335383,1.23E-12,4.55E-11,XM_003557135.4
89.54898858,-2.51359684,0.527304532,-4.766878884,1.87E-06,2.17E-05,XM_003557137.4
