"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","names","source","product","gbkey"
198.9351475,-1.247916285,0.301124341,-4.144189346,3.41e-05,0.000361911,"NM_001279893.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","iron-phytosiderophore transporter YSL15-like","mRNA"
26.33051077,1.24963465,0.279264711,4.474731674,7.65e-06,9.7e-05,"NM_001279901.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","mitogen-activated protein kinase 2-like","mRNA"
90.43502098,-2.269888306,0.361249694,-6.283433152,3.31e-10,1.23e-08,"NM_001279906.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","NAC domain-containing protein 12-like","mRNA"
3417.991956,-1.36226791,0.289489302,-4.705762525,2.53e-06,3.7e-05,"NM_001279915.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","iron-phytosiderophore transporter YSL15-like","mRNA"
20.12837415,-21.9455799,2.686153447,-8.169890638,3.09e-16,3.47e-14,"NM_001279920.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","mitogen-activated protein kinase kinase 6-like","mRNA"
497.7784857,2.407160213,0.221405544,10.87217678,1.56e-27,7.94e-25,"NM_001289016.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","nucleoside diphosphate kinase","mRNA"
4.699666384,-5.891495922,1.663274933,-3.542105882,0.000396946,0.00302132,"NM_001301386.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","MADS-box transcription factor 20-like","mRNA"
47.10170972,-1.30679856,0.397674229,-3.286103206,0.001015838,0.006747024,"NM_001301393.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","MADS-box transcription factor 26-like","mRNA"
188.9780647,-1.038871561,0.324420686,-3.202235883,0.001363653,0.008641039,"NM_001301397.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","MADS-box transcription factor 26-like","mRNA"
190.5293677,-1.107014901,0.294474748,-3.759286351,0.000170399,0.001472706,"NM_001302879.1","bracky_bsub_analysis/Brach_Bsub_v_BsubSalt.csv","MADS-box transcription factor 50-like","mRNA"
